Id,AC#,Artist,Title,Date,Medium,Dimensions,Category
2373,619819,"SPIERS, Harry","When the Day's Work is Done",1904,"pastel on paper","67.3 x 91.4 cm / 26 1/2"" x 36""","work on paper"
2374,622610,"SQUIRE, Rev. Bowen P.","Barn Raising Bee",n.d.,"oil on canvas","39.8 x 49.5 cm / 15 5/8"" x 19 1/2""; frame: 47 x 57.8 cm / 18 1/2"" x 22 3/4""",painting
2375,622611,"SQUIRE, Rev. Bowen P.","Clearing the Land",n.d.,"oil on canvas","54.3 x 74.6 cm / 21 3/8"" x 29 3/8""; frame: 67.3 x 88.3 cm / 26 1/2"" x 34 3/4""",painting
2376,622609,"SQUIRE, Rev. Bowen P.","The Carrying Place, Kente 1794",n.d.,"oil on canvas","39.4 x 49.2 cm / 15 1/2"" x 19 3/8""",painting
2377,622612,"SQUIRE, Rev. Bowen P.","The First Reaping",n.d.,"oil on canvas","54.6 x 74.9 cm / 21 1/2"" x 29 1/2""; frame: 67.3 x 88.3 cm / 26 1/2"" x 34 3/4""",painting
2378,622614,"SQUIRE, Rev. Bowen P.","The Gunshot Treaty at the Carrying Place, c. 1785-87, Sir John Johnson & Mississauga Tribes, The King's Royal York Regiment",n.d.,"oil on canvas","54.6 x 74.3 cm / 21 1/2"" x 29 1/4""; frame: 68.6 x 88.9 cm / 27"" x 35""",painting
2379,622613,"SQUIRE, Rev. Bowen P.","Wellers Stage",n.d.,"oil on canvas","59.7 x 74.3 cm / 23 1/2"" x 29 1/4""; frame: 73.7 x 88.9 cm / 29"" x 35""",painting
2380,661746,"ST. CLAIR, Bruce","Bone of the Earth",1992,"acrylic on canvas","122 x 183 cm / 48"" x 72""; frame: 125.5 x 185.5 cm / 49 3/8"" x 73""",painting
2381,623105,"ST. JOHN, E.","In the Tyrol",n.d.,"watercolour on paper","62.9 x 45.7 cm / 24 3/4"" x 18""","work on paper"
2382,658631,"ST. ONGE, Yvonne",Exterieur/Interieur,n.d.,print,"34 x 26.7 cm / 13 3/8"" x 10 1/2""","work on paper"
2383,100407,"STAATS, Greg","6-Untitled (Bundles)",1999,photograph,"22.6 cm x 33.4 cm / 8 7/8"" x 13 1/8"" each ; frame: 44.4 cm x 54.2 / 17 1/2"" x 21 3/8"" each",photograph
2384,625818,"STALLWORTHY, William Wilson","Diamond Drilling",1930,"oil on canvas","210.8 x 477.5 cm / 83"" x 188""",painting
2385,625817,"STALLWORTHY, William Wilson","Gold Mill",1930,"oil on canvas","210.8 x 477.5 cm / 83"" x 188""",painting
2386,625816,"STALLWORTHY, William Wilson","Prospecting - Old Style","c. 1930","oil on canvas","210.8 x 477.5 cm / 83"" x 188""",painting
2387,625815,"STALLWORTHY, William Wilson","Untitled [smelting plant]","c. 1930","oil on canvas","210.8 x 477.5 cm / 83"" x 188""",painting
2388,661687,"STANIFORTH, Susan","Story Book Woman",n.d.,"pastel on paper","sight: 29 x 23 cm / 11 3/8"" x 9"" each; frame: 43 x 138 cm / 17"" x 54 3/8"" overall","work on paper"
2389,648522,"STATHACOS, Chrysanne","(Lotus) Leaf [2 parts]","c. 1988","mixed media",n/a,"mixed media"
2390,100290,"STEELE, Gladys","Port Colborne Tanker",n.d.,"watercolour on paper","33 x 43 cm / 13"" x 17""; frame: 56.7 x 67 cm / 22 3/8"" x 26 3/8""","work on paper"
2391,100350,"STEEVES, Janice Mason","Red Gerberas: 6",2004,"oil on panel","61 x 183 cm / 24"" x 72""",painting
2392,100422,"STEIN, Alan","Opening Night, Parry Sound",2004,"charcoal on paper","54 x 76 cm / 21 1/4"" x 29 7/8""; frame: 71.8 x 94.8 cm / 28 1/4"" x 37 5/16""","work on paper"
2393,101315,"STEIN, Alan","Over Painted Rocks #2",2007,"pastel on paper","sight: 78 x 115 cm / 30 1/2"" x 45 1/2""; image: 64 x 98 cm / 25"" x 38 1/2""; frame: 85 x 122 cm / 33 1/2"" x 48""","work on paper"
2394,618677,"STEINBACHER, Guerite Fera","Orange Aid","c. 1976",textile,"213.4 x 91.4 cm / 84"" x 36""",textile
2395,100172,"STEVENS, Dorothy","Hon. Donald James Cowan, 1956 [Judge of County of Brant 1935-1958]",1956,"oil on canvas","117 x 89 cm / 46"" x 35""",portrait
2396,619827,"STEWART, David Murray McCheyne","Spring Ice - Eagle Lake","c. 1962","oil on canvas","60.3 x 74.9 cm / 23 3/4"" x 29 1/2""",painting
